TEAM_ID,LEAGUE_ID,SEASON_ID,STANDINGSDATE,CONFERENCE,TEAM,G,W,L,W_PCT,HOME_RECORD,ROAD_RECORD
1610612743,0,22022,2022/12/22,West,Denver,30,19,11,0.633,10月3日,10月4日
1610612763,0,22022,2022/12/22,West,Memphis,30,19,11,0.633,2月13日,2月14日
1610612740,0,22022,2022/12/22,West,New Orleans,31,19,12,0.613,4月13日,4月14日
1610612756,0,22022,2022/12/22,West,Phoenix,32,19,13,0.594,4月14日,4月15日
1610612746,0,22022,2022/12/22,West,LA Clippers,33,19,14,0.576,11月7日,11月8日
1610612758,0,22022,2022/12/22,West,Sacramento,30,17,13,0.567,9月5日,9月6日
1610612762,0,22022,2022/12/22,West,Utah,35,19,16,0.543,12月5日,12月6日
1610612757,0,22022,2022/12/22,West,Portland,32,17,15,0.531,7月6日,7月7日
1610612742,0,22022,2022/12/22,West,Dallas,32,16,16,0.5,12月5日,12月6日
1610612750,0,22022,2022/12/22,West,Minnesota,32,16,16,0.5,9月8日,9月9日
1610612744,0,22022,2022/12/22,West,Golden State,33,15,18,0.455,12月2日,12月3日
1610612760,0,22022,2022/12/22,West,Oklahoma City,32,14,18,0.438,9月7日,9月8日
1610612747,0,22022,2022/12/22,West,L.A. Lakers,31,13,18,0.419,8月7日,8月8日
1610612759,0,22022,2022/12/22,West,San Antonio,31,10,21,0.323,5月12日,5月13日
1610612745,0,22022,2022/12/22,West,Houston,31,9,22,0.29,6月9日,6月10日
1610612743,0,22022,2022/12/21,West,Denver,30,19,11,0.633,10月3日,10月4日
1610612763,0,22022,2022/12/21,West,Memphis,30,19,11,0.633,2月13日,2月14日
1610612740,0,22022,2022/12/21,West,New Orleans,30,18,12,0.6,12月4日,12月5日
1610612756,0,22022,2022/12/21,West,Phoenix,32,19,13,0.594,4月14日,4月15日
1610612746,0,22022,2022/12/21,West,LA Clippers,33,19,14,0.576,11月7日,11月8日
1610612758,0,22022,2022/12/21,West,Sacramento,30,17,13,0.567,9月5日,9月6日
1610612757,0,22022,2022/12/21,West,Portland,32,17,15,0.531,7月6日,7月7日
1610612762,0,22022,2022/12/21,West,Utah,34,18,16,0.529,11月5日,11月6日
1610612742,0,22022,2022/12/21,West,Dallas,32,16,16,0.5,12月5日,12月6日
1610612750,0,22022,2022/12/21,West,Minnesota,32,16,16,0.5,9月8日,9月9日
1610612744,0,22022,2022/12/21,West,Golden State,33,15,18,0.455,12月2日,12月3日
1610612760,0,22022,2022/12/21,West,Oklahoma City,32,14,18,0.438,9月7日,9月8日
1610612747,0,22022,2022/12/21,West,L.A. Lakers,31,13,18,0.419,8月7日,8月8日
1610612759,0,22022,2022/12/21,West,San Antonio,30,10,20,0.333,5月12日,5月13日
1610612745,0,22022,2022/12/21,West,Houston,31,9,22,0.29,6月9日,6月10日
1610612743,0,22022,2022/12/20,West,Denver,30,19,11,0.633,10月3日,10月4日
1610612763,0,22022,2022/12/20,West,Memphis,30,19,11,0.633,2月13日,2月14日
1610612740,0,22022,2022/12/20,West,New Orleans,30,18,12,0.6,12月4日,12月5日
1610612756,0,22022,2022/12/20,West,Phoenix,32,19,13,0.594,4月14日,4月15日
1610612746,0,22022,2022/12/20,West,LA Clippers,32,18,14,0.563,10月7日,10月8日
1610612758,0,22022,2022/12/20,West,Sacramento,29,16,13,0.552,8月5日,8月6日
1610612757,0,22022,2022/12/20,West,Portland,31,17,14,0.548,7月6日,7月7日
1610612762,0,22022,2022/12/20,West,Utah,34,18,16,0.529,11月5日,11月6日
1610612750,0,22022,2022/12/20,West,Minnesota,31,16,15,0.516,9月7日,9月8日
1610612742,0,22022,2022/12/20,West,Dallas,31,15,16,0.484,12月5日,12月6日
1610612744,0,22022,2022/12/20,West,Golden State,32,15,17,0.469,12月2日,12月3日
1610612747,0,22022,2022/12/20,West,L.A. Lakers,30,13,17,0.433,8月7日,8月8日
1610612760,0,22022,2022/12/20,West,Oklahoma City,31,13,18,0.419,8月7日,8月8日
1610612759,0,22022,2022/12/20,West,San Antonio,30,10,20,0.333,5月12日,5月13日
1610612745,0,22022,2022/12/20,West,Houston,30,9,21,0.3,6月8日,6月9日
1610612763,0,22022,2022/12/19,West,Memphis,29,19,10,0.655,2月13日,2月14日
1610612743,0,22022,2022/12/19,West,Denver,29,18,11,0.621,9月3日,9月4日
1610612756,0,22022,2022/12/19,West,Phoenix,31,19,12,0.613,3月14日,3月15日
1610612740,0,22022,2022/12/19,West,New Orleans,30,18,12,0.6,12月4日,12月5日
1610612746,0,22022,2022/12/19,West,LA Clippers,32,18,14,0.563,10月7日,10月8日
1610612758,0,22022,2022/12/19,West,Sacramento,29,16,13,0.552,8月5日,8月6日
1610612757,0,22022,2022/12/19,West,Portland,31,17,14,0.548,7月6日,7月7日
1610612750,0,22022,2022/12/19,West,Minnesota,31,16,15,0.516,9月7日,9月8日
1610612762,0,22022,2022/12/19,West,Utah,33,17,16,0.515,11月5日,11月6日
1610612742,0,22022,2022/12/19,West,Dallas,31,15,16,0.484,12月5日,12月6日
1610612744,0,22022,2022/12/19,West,Golden State,31,15,16,0.484,12月2日,12月3日
1610612747,0,22022,2022/12/19,West,L.A. Lakers,30,13,17,0.433,8月7日,8月8日
1610612760,0,22022,2022/12/19,West,Oklahoma City,31,13,18,0.419,8月7日,8月8日
1610612759,0,22022,2022/12/19,West,San Antonio,30,10,20,0.333,5月12日,5月13日
1610612745,0,22022,2022/12/19,West,Houston,30,9,21,0.3,6月8日,6月9日
1610612763,0,22022,2022/12/18,West,Memphis,29,19,10,0.655,2月13日,2月14日
1610612743,0,22022,2022/12/18,West,Denver,29,18,11,0.621,9月3日,9月4日
1610612740,0,22022,2022/12/18,West,New Orleans,29,18,11,0.621,12月3日,12月4日
1610612756,0,22022,2022/12/18,West,Phoenix,30,18,12,0.6,3月13日,3月14日
1610612758,0,22022,2022/12/18,West,Sacramento,28,16,12,0.571,8月4日,8月5日
1610612757,0,22022,2022/12/18,West,Portland,30,17,13,0.567,7月6日,7月7日
1610612746,0,22022,2022/12/18,West,LA Clippers,32,18,14,0.563,10月7日,10月8日
1610612762,0,22022,2022/12/18,West,Utah,32,17,15,0.531,11月5日,11月6日
1610612742,0,22022,2022/12/18,West,Dallas,30,15,15,0.5,12月5日,12月6日
1610612750,0,22022,2022/12/18,West,Minnesota,30,15,15,0.5,8月7日,8月8日
1610612744,0,22022,2022/12/18,West,Golden State,31,15,16,0.484,12月2日,12月3日
1610612747,0,22022,2022/12/18,West,L.A. Lakers,29,13,16,0.448,8月7日,8月8日
1610612760,0,22022,2022/12/18,West,Oklahoma City,30,12,18,0.4,7月7日,7月8日
1610612745,0,22022,2022/12/18,West,Houston,29,9,20,0.31,6月7日,6月8日
1610612759,0,22022,2022/12/18,West,San Antonio,29,9,20,0.31,5月12日,5月13日
1610612763,0,22022,2022/12/17,West,Memphis,29,19,10,0.655,2月13日,2月14日
1610612740,0,22022,2022/12/17,West,New Orleans,29,18,11,0.621,12月3日,12月4日
1610612743,0,22022,2022/12/17,West,Denver,28,17,11,0.607,8月3日,8月4日
1610612756,0,22022,2022/12/17,West,Phoenix,30,18,12,0.6,3月13日,3月14日
1610612758,0,22022,2022/12/17,West,Sacramento,28,16,12,0.571,8月4日,8月5日
1610612757,0,22022,2022/12/17,West,Portland,30,17,13,0.567,7月6日,7月7日
1610612746,0,22022,2022/12/17,West,LA Clippers,32,18,14,0.563,10月7日,10月8日
1610612762,0,22022,2022/12/17,West,Utah,32,17,15,0.531,11月5日,11月6日
1610612742,0,22022,2022/12/17,West,Dallas,30,15,15,0.5,12月5日,12月6日
1610612750,0,22022,2022/12/17,West,Minnesota,29,14,15,0.483,7月7日,7月8日
1610612744,0,22022,2022/12/17,West,Golden State,30,14,16,0.467,12月2日,12月3日
1610612747,0,22022,2022/12/17,West,L.A. Lakers,28,12,16,0.429,7月7日,7月8日
1610612760,0,22022,2022/12/17,West,Oklahoma City,30,12,18,0.4,7月7日,7月8日
1610612745,0,22022,2022/12/17,West,Houston,29,9,20,0.31,6月7日,6月8日
1610612759,0,22022,2022/12/17,West,San Antonio,29,9,20,0.31,5月12日,5月13日
1610612763,0,22022,2022/12/16,West,Memphis,28,19,9,0.679,2月13日,2月14日
1610612740,0,22022,2022/12/16,West,New Orleans,28,18,10,0.643,12月3日,12月4日
1610612743,0,22022,2022/12/16,West,Denver,28,17,11,0.607,8月3日,8月4日
1610612756,0,22022,2022/12/16,West,Phoenix,29,17,12,0.586,12月3日,12月4日
1610612758,0,22022,2022/12/16,West,Sacramento,28,16,12,0.571,8月4日,8月5日
1610612757,0,22022,2022/12/16,West,Portland,29,16,13,0.552,7月6日,7月7日
1610612746,0,22022,2022/12/16,West,LA Clippers,31,17,14,0.548,9月7日,9月8日
1610612762,0,22022,2022/12/16,West,Utah,31,17,14,0.548,11月5日,11月6日
1610612742,0,22022,2022/12/16,West,Dallas,29,15,14,0.517,12月5日,12月6日
1610612750,0,22022,2022/12/16,West,Minnesota,29,14,15,0.483,7月7日,7月8日
1610612744,0,22022,2022/12/16,West,Golden State,30,14,16,0.467,12月2日,12月3日
1610612747,0,22022,2022/12/16,West,L.A. Lakers,28,12,16,0.429,7月7日,7月8日
1610612760,0,22022,2022/12/16,West,Oklahoma City,29,11,18,0.379,6月7日,6月8日
1610612745,0,22022,2022/12/16,West,Houston,28,9,19,0.321,6月6日,6月7日
1610612759,0,22022,2022/12/16,West,San Antonio,28,9,19,0.321,5月11日,5月12日
1610612763,0,22022,2022/12/15,West,Memphis,28,19,9,0.679,2月13日,2月14日
1610612740,0,22022,2022/12/15,West,New Orleans,28,18,10,0.643,12月3日,12月4日
1610612743,0,22022,2022/12/15,West,Denver,27,17,10,0.63,8月3日,8月4日
1610612756,0,22022,2022/12/15,West,Phoenix,29,17,12,0.586,12月3日,12月4日
1610612757,0,22022,2022/12/15,West,Portland,28,16,12,0.571,7月6日,7月7日
1610612758,0,22022,2022/12/15,West,Sacramento,27,15,12,0.556,8月4日,8月5日
1610612746,0,22022,2022/12/15,West,LA Clippers,31,17,14,0.548,9月7日,9月8日
1610612762,0,22022,2022/12/15,West,Utah,31,17,14,0.548,11月5日,11月6日
1610612742,0,22022,2022/12/15,West,Dallas,28,14,14,0.5,11月5日,11月6日
1610612744,0,22022,2022/12/15,West,Golden State,29,14,15,0.483,12月2日,12月3日
1610612750,0,22022,2022/12/15,West,Minnesota,28,13,15,0.464,7月7日,7月8日
1610612747,0,22022,2022/12/15,West,L.A. Lakers,27,11,16,0.407,6月7日,6月8日
1610612760,0,22022,2022/12/15,West,Oklahoma City,28,11,17,0.393,6月6日,6月7日
1610612745,0,22022,2022/12/15,West,Houston,28,9,19,0.321,6月6日,6月7日
1610612759,0,22022,2022/12/15,West,San Antonio,28,9,19,0.321,5月11日,5月12日
1610612763,0,22022,2022/12/14,West,Memphis,27,18,9,0.667,12月2日,12月3日
1610612740,0,22022,2022/12/14,West,New Orleans,27,18,9,0.667,12月3日,12月4日
1610612743,0,22022,2022/12/14,West,Denver,27,17,10,0.63,8月3日,8月4日
1610612756,0,22022,2022/12/14,West,Phoenix,28,16,12,0.571,12月3日,12月4日
1610612757,0,22022,2022/12/14,West,Portland,28,16,12,0.571,7月6日,7月7日
1610612746,0,22022,2022/12/14,West,LA Clippers,30,17,13,0.567,9月6日,9月7日
1610612758,0,22022,2022/12/14,West,Sacramento,27,15,12,0.556,8月4日,8月5日
1610612762,0,22022,2022/12/14,West,Utah,30,16,14,0.533,10月5日,10月6日
1610612742,0,22022,2022/12/14,West,Dallas,28,14,14,0.5,11月5日,11月6日
1610612744,0,22022,2022/12/14,West,Golden State,29,14,15,0.483,12月2日,12月3日
1610612750,0,22022,2022/12/14,West,Minnesota,28,13,15,0.464,7月7日,7月8日
1610612747,0,22022,2022/12/14,West,L.A. Lakers,27,11,16,0.407,6月7日,6月8日
1610612760,0,22022,2022/12/14,West,Oklahoma City,28,11,17,0.393,6月6日,6月7日
1610612745,0,22022,2022/12/14,West,Houston,27,9,18,0.333,6月5日,6月6日
1610612759,0,22022,2022/12/14,West,San Antonio,28,9,19,0.321,5月11日,5月12日
1610612763,0,22022,2022/12/13,West,Memphis,27,18,9,0.667,12月2日,12月3日
1610612740,0,22022,2022/12/13,West,New Orleans,27,18,9,0.667,12月3日,12月4日
1610612743,0,22022,2022/12/13,West,Denver,26,16,10,0.615,7月3日,7月4日
1610612756,0,22022,2022/12/13,West,Phoenix,28,16,12,0.571,12月3日,12月4日
1610612757,0,22022,2022/12/13,West,Portland,27,15,12,0.556,7月6日,7月7日
1610612746,0,22022,2022/12/13,West,LA Clippers,29,16,13,0.552,8月6日,8月7日
1610612758,0,22022,2022/12/13,West,Sacramento,26,14,12,0.538,8月4日,8月5日
1610612762,0,22022,2022/12/13,West,Utah,30,16,14,0.533,10月5日,10月6日
1610612742,0,22022,2022/12/13,West,Dallas,27,14,13,0.519,11月4日,11月5日
1610612744,0,22022,2022/12/13,West,Golden State,28,14,14,0.5,12月2日,12月3日
1610612750,0,22022,2022/12/13,West,Minnesota,27,13,14,0.481,7月7日,7月8日
1610612747,0,22022,2022/12/13,West,L.A. Lakers,27,11,16,0.407,6月7日,6月8日
1610612760,0,22022,2022/12/13,West,Oklahoma City,27,11,16,0.407,6月5日,6月6日
1610612745,0,22022,2022/12/13,West,Houston,27,9,18,0.333,6月5日,6月6日
1610612759,0,22022,2022/12/13,West,San Antonio,27,9,18,0.333,5月10日,5月11日
1610612740,0,22022,2022/12/12,West,New Orleans,26,18,8,0.692,12月3日,12月4日
1610612763,0,22022,2022/12/12,West,Memphis,27,18,9,0.667,12月2日,12月3日
1610612743,0,22022,2022/12/12,West,Denver,26,16,10,0.615,7月3日,7月4日
1610612756,0,22022,2022/12/12,West,Phoenix,27,16,11,0.593,12月3日,12月4日
1610612758,0,22022,2022/12/12,West,Sacramento,25,14,11,0.56,8月4日,8月5日
1610612757,0,22022,2022/12/12,West,Portland,27,15,12,0.556,7月6日,7月7日
1610612746,0,22022,2022/12/12,West,LA Clippers,29,16,13,0.552,8月6日,8月7日
1610612742,0,22022,2022/12/12,West,Dallas,27,14,13,0.519,11月4日,11月5日
1610612744,0,22022,2022/12/12,West,Golden State,27,14,13,0.519,12月2日,12月3日
1610612762,0,22022,2022/12/12,West,Utah,29,15,14,0.517,9月5日,9月6日
1610612750,0,22022,2022/12/12,West,Minnesota,27,13,14,0.481,7月7日,7月8日
1610612747,0,22022,2022/12/12,West,L.A. Lakers,26,11,15,0.423,6月6日,6月7日
1610612760,0,22022,2022/12/12,West,Oklahoma City,27,11,16,0.407,6月5日,6月6日
1610612759,0,22022,2022/12/12,West,San Antonio,27,9,18,0.333,5月10日,5月11日
1610612745,0,22022,2022/12/12,West,Houston,26,8,18,0.308,5月5日,5月6日
1610612740,0,22022,2022/12/11,West,New Orleans,26,18,8,0.692,12月3日,12月4日
1610612763,0,22022,2022/12/11,West,Memphis,26,17,9,0.654,11月2日,11月3日
1610612743,0,22022,2022/12/11,West,Denver,26,16,10,0.615,7月3日,7月4日
1610612756,0,22022,2022/12/11,West,Phoenix,27,16,11,0.593,12月3日,12月4日
1610612758,0,22022,2022/12/11,West,Sacramento,25,14,11,0.56,8月4日,8月5日
1610612757,0,22022,2022/12/11,West,Portland,26,14,12,0.538,6月6日,6月7日
1610612746,0,22022,2022/12/11,West,LA Clippers,28,15,13,0.536,7月6日,7月7日
1610612744,0,22022,2022/12/11,West,Golden State,27,14,13,0.519,12月2日,12月3日
1610612762,0,22022,2022/12/11,West,Utah,29,15,14,0.517,9月5日,9月6日
1610612742,0,22022,2022/12/11,West,Dallas,26,13,13,0.5,10月4日,10月5日
1610612750,0,22022,2022/12/11,West,Minnesota,26,13,13,0.5,7月7日,7月8日
1610612747,0,22022,2022/12/11,West,L.A. Lakers,26,11,15,0.423,6月6日,6月7日
1610612760,0,22022,2022/12/11,West,Oklahoma City,26,11,15,0.423,6月5日,6月6日
1610612745,0,22022,2022/12/11,West,Houston,26,8,18,0.308,5月5日,5月6日
1610612759,0,22022,2022/12/11,West,San Antonio,26,8,18,0.308,4月10日,4月11日
1610612740,0,22022,2022/12/10,West,New Orleans,25,17,8,0.68,11月3日,11月4日
1610612763,0,22022,2022/12/10,West,Memphis,26,17,9,0.654,11月2日,11月3日
1610612743,0,22022,2022/12/10,West,Denver,26,16,10,0.615,7月3日,7月4日
1610612756,0,22022,2022/12/10,West,Phoenix,26,16,10,0.615,12月3日,12月4日
1610612758,0,22022,2022/12/10,West,Sacramento,24,14,10,0.583,8月4日,8月5日
1610612757,0,22022,2022/12/10,West,Portland,26,14,12,0.538,6月6日,6月7日
1610612746,0,22022,2022/12/10,West,LA Clippers,28,15,13,0.536,7月6日,7月7日
1610612744,0,22022,2022/12/10,West,Golden State,27,14,13,0.519,12月2日,12月3日
1610612762,0,22022,2022/12/10,West,Utah,29,15,14,0.517,9月5日,9月6日
1610612742,0,22022,2022/12/10,West,Dallas,26,13,13,0.5,10月4日,10月5日
1610612750,0,22022,2022/12/10,West,Minnesota,26,13,13,0.5,7月7日,7月8日
1610612760,0,22022,2022/12/10,West,Oklahoma City,26,11,15,0.423,6月5日,6月6日
1610612747,0,22022,2022/12/10,West,L.A. Lakers,25,10,15,0.4,6月6日,6月7日
1610612759,0,22022,2022/12/10,West,San Antonio,26,8,18,0.308,4月10日,4月11日
1610612745,0,22022,2022/12/10,West,Houston,25,7,18,0.28,4月5日,4月6日
1610612740,0,22022,2022/12/9,West,New Orleans,25,17,8,0.68,11月3日,11月4日
1610612763,0,22022,2022/12/9,West,Memphis,26,17,9,0.654,11月2日,11月3日
1610612756,0,22022,2022/12/9,West,Phoenix,26,16,10,0.615,12月3日,12月4日
1610612743,0,22022,2022/12/9,West,Denver,25,15,10,0.6,6月3日,6月4日
1610612758,0,22022,2022/12/9,West,Sacramento,24,14,10,0.583,8月4日,8月5日
1610612762,0,22022,2022/12/9,West,Utah,28,15,13,0.536,9月5日,9月6日
1610612742,0,22022,2022/12/9,West,Dallas,25,13,12,0.52,10月4日,10月5日
1610612750,0,22022,2022/12/9,West,Minnesota,25,13,12,0.52,7月7日,7月8日
1610612757,0,22022,2022/12/9,West,Portland,25,13,12,0.52,5月6日,5月7日
1610612746,0,22022,2022/12/9,West,LA Clippers,27,14,13,0.519,7月6日,7月7日
1610612744,0,22022,2022/12/9,West,Golden State,26,13,13,0.5,11月2日,11月3日
1610612760,0,22022,2022/12/9,West,Oklahoma City,25,11,14,0.44,6月5日,6月6日
1610612747,0,22022,2022/12/9,West,L.A. Lakers,25,10,15,0.4,6月6日,6月7日
1610612745,0,22022,2022/12/9,West,Houston,25,7,18,0.28,4月5日,4月6日
1610612759,0,22022,2022/12/9,West,San Antonio,25,7,18,0.28,4月10日,4月11日
1610612740,0,22022,2022/12/8,West,New Orleans,24,16,8,0.667,10月3日,10月4日
1610612763,0,22022,2022/12/8,West,Memphis,25,16,9,0.64,10月2日,10月3日
1610612756,0,22022,2022/12/8,West,Phoenix,25,16,9,0.64,12月3日,12月4日
1610612743,0,22022,2022/12/8,West,Denver,25,15,10,0.6,6月3日,6月4日
1610612758,0,22022,2022/12/8,West,Sacramento,23,13,10,0.565,8月4日,8月5日
1610612762,0,22022,2022/12/8,West,Utah,27,15,12,0.556,9月4日,9月5日
1610612742,0,22022,2022/12/8,West,Dallas,24,13,11,0.542,10月3日,10月4日
1610612757,0,22022,2022/12/8,West,Portland,25,13,12,0.52,5月6日,5月7日
1610612746,0,22022,2022/12/8,West,LA Clippers,27,14,13,0.519,7月6日,7月7日
1610612744,0,22022,2022/12/8,West,Golden State,26,13,13,0.5,11月2日,11月3日
1610612750,0,22022,2022/12/8,West,Minnesota,24,12,12,0.5,7月7日,7月8日
1610612760,0,22022,2022/12/8,West,Oklahoma City,25,11,14,0.44,6月5日,6月6日
1610612747,0,22022,2022/12/8,West,L.A. Lakers,24,10,14,0.417,6月6日,6月7日
1610612745,0,22022,2022/12/8,West,Houston,25,7,18,0.28,4月5日,4月6日
1610612759,0,22022,2022/12/8,West,San Antonio,25,7,18,0.28,4月10日,4月11日
1610612740,0,22022,2022/12/7,West,New Orleans,24,16,8,0.667,10月3日,10月4日
